시군구별,연도,월,남자,여자,전체,성비
강원특별자치도,1997,01,917.0,877.0,1794.0,1.0456100342075256
강원특별자치도,1997,02,844.0,804.0,1648.0,1.0497512437810945
강원특별자치도,1997,03,952.0,879.0,1831.0,1.0830489192263937
강원특별자치도,1997,04,844.0,826.0,1670.0,1.0217917675544794
강원특별자치도,1997,05,869.0,781.0,1650.0,1.1126760563380282
강원특별자치도,1997,06,807.0,707.0,1514.0,1.1414427157001414
강원특별자치도,1997,07,848.0,770.0,1618.0,1.1012987012987012
강원특별자치도,1997,08,815.0,779.0,1594.0,1.0462130937098844
강원특별자치도,1997,09,850.0,802.0,1652.0,1.059850374064838
강원특별자치도,1997,10,832.0,831.0,1663.0,1.0012033694344165
강원특별자치도,1997,11,800.0,746.0,1546.0,1.0723860589812333
강원특별자치도,1997,12,827.0,814.0,1641.0,1.015970515970516
강원특별자치도,1998,01,922.0,786.0,1708.0,1.173027989821883
강원특별자치도,1998,02,893.0,814.0,1707.0,1.097051597051597
강원특별자치도,1998,03,876.0,877.0,1753.0,0.9988597491448119
강원특별자치도,1998,04,932.0,780.0,1712.0,1.1948717948717948
강원특별자치도,1998,05,834.0,779.0,1613.0,1.0706033376123234
강원특별자치도,1998,06,806.0,726.0,1532.0,1.1101928374655647
강원특별자치도,1998,07,796.0,787.0,1583.0,1.0114358322744599
강원특별자치도,1998,08,753.0,724.0,1477.0,1.0400552486187846
강원특별자치도,1998,09,837.0,766.0,1603.0,1.0926892950391645
강원특별자치도,1998,10,841.0,746.0,1587.0,1.1273458445040214
강원특별자치도,1998,11,799.0,749.0,1548.0,1.0667556742323097
강원특별자치도,1998,12,848.0,750.0,1598.0,1.1306666666666667
강원특별자치도,1999,01,928.0,862.0,1790.0,1.0765661252900232
강원특별자치도,1999,02,893.0,819.0,1712.0,1.0903540903540903
강원특별자치도,1999,03,905.0,855.0,1760.0,1.0584795321637428
강원특별자치도,1999,04,860.0,738.0,1598.0,1.165311653116531
강원특별자치도,1999,05,816.0,800.0,1616.0,1.02
강원특별자치도,1999,06,706.0,673.0,1379.0,1.049034175334324
강원특별자치도,1999,07,764.0,748.0,1512.0,1.0213903743315509
강원특별자치도,1999,08,760.0,737.0,1497.0,1.0312075983717774
강원특별자치도,1999,09,838.0,753.0,1591.0,1.1128818061088976
강원특별자치도,1999,10,838.0,724.0,1562.0,1.1574585635359116
강원특별자치도,1999,11,790.0,689.0,1479.0,1.146589259796807
강원특별자치도,1999,12,876.0,771.0,1647.0,1.1361867704280155
강원특별자치도,2000,01,1015.0,951.0,1966.0,1.0672975814931651
강원특별자치도,2000,02,906.0,874.0,1780.0,1.036613272311213
강원특별자치도,2000,03,979.0,824.0,1803.0,1.1881067961165048
강원특별자치도,2000,04,871.0,741.0,1612.0,1.1754385964912282
강원특별자치도,2000,05,816.0,799.0,1615.0,1.0212765957446808
강원특별자치도,2000,06,793.0,702.0,1495.0,1.1296296296296295
강원특별자치도,2000,07,824.0,679.0,1503.0,1.2135493372606774
강원특별자치도,2000,08,804.0,709.0,1513.0,1.1339915373765868
강원특별자치도,2000,09,814.0,770.0,1584.0,1.0571428571428572
강원특별자치도,2000,10,803.0,739.0,1542.0,1.0866035182679297
강원특별자치도,2000,11,847.0,716.0,1563.0,1.1829608938547487
강원특별자치도,2000,12,765.0,741.0,1506.0,1.0323886639676114
강원특별자치도,2001,01,950.0,831.0,1781.0,1.1432009626955475
강원특별자치도,2001,02,732.0,741.0,1473.0,0.9878542510121457
강원특별자치도,2001,03,906.0,740.0,1646.0,1.2243243243243243
강원특별자치도,2001,04,754.0,715.0,1469.0,1.0545454545454545
강원특별자치도,2001,05,746.0,686.0,1432.0,1.087463556851312
